YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2012,Japan,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8,AS6,X,16.6,12.2,14.6,19,336
2012,Japan,VENZA,SUV,2.7,4,AS6,X,10.0,6.8,8.5,33,196
2012,Japan,VENZA,SUV,3.5,6,AS6,X,11.1,7.7,9.6,29,221
2012,Japan,VENZA AWD,SUV,2.7,4,AS6,X,10.2,7.1,8.8,32,202
2012,Japan,VENZA AWD,SUV,3.5,6,AS6,X,11.4,7.9,9.8,29,225
2012,Japan,YARIS,COMPACT,1.5,4,A4,X,6.8,5.5,6.2,46,143
2012,Japan,YARIS,COMPACT,1.5,4,M5,X,6.6,5.2,6.0,47,138
2012,Germany,BEETLE,SUBCOMPACT,2.0,4,AS6,Z,9.9,6.5,8.4,34,193
2012,Germany,BEETLE,SUBCOMPACT,2.0,4,M6,Z,10.3,6.7,8.7,32,200
2012,Germany,BEETLE,SUBCOMPACT,2.5,5,AS6,X,9.5,7.1,8.4,34,193
2012,Germany,BEETLE,SUBCOMPACT,2.5,5,M5,X,9.9,6.4,8.3,34,191
2012,Germany,CC,COMPACT,2.0,4,AS6,Z,9.6,6.6,8.3,34,191
2012,Germany,CC,COMPACT,2.0,4,M6,Z,10.1,6.6,8.5,33,196
2012,Germany,CC 4MOTION,COMPACT,3.6,6,AS6,Z,12.7,8.3,10.7,26,246
2012,Germany,EOS,SUBCOMPACT,2.0,4,AS6,Z,9.5,6.7,8.2,34,189
2012,Germany,GOLF,COMPACT,2.5,5,AS6,X,9.1,6.5,7.9,36,182
2012,Germany,GOLF,COMPACT,2.5,5,M5,X,9.9,6.2,8.2,34,189
2012,Germany,GOLF R,COMPACT,2.0,4,M6,Z,10.9,7.5,9.4,30,216
2012,Germany,GOLF WAGON,STATION WAGON - SMALL,2.5,5,AS6,X,9.1,6.5,7.9,36,182
2012,Germany,GOLF WAGON,STATION WAGON - SMALL,2.5,5,M5,X,9.9,6.2,8.2,34,189
2012,Germany,GTI,COMPACT,2.0,4,AS6,Z,8.7,6.3,7.6,37,175
2012,Germany,GTI,COMPACT,2.0,4,M6,Z,9.9,6.7,8.4,34,193
2012,Germany,JETTA,COMPACT,2.0,4,AS6,Z,8.8,6.1,7.6,37,175
2012,Germany,JETTA,COMPACT,2.0,4,AS6,X,9.3,6.7,8.1,35,186
2012,Germany,JETTA,COMPACT,2.0,4,M5,X,9.1,6.0,7.7,37,177
2012,Germany,JETTA,COMPACT,2.0,4,M6,Z,9.8,6.2,8.2,34,189
2012,Germany,JETTA,COMPACT,2.5,5,AS6,X,9.1,6.5,7.9,36,182
2012,Germany,JETTA,COMPACT,2.5,5,M5,X,9.9,6.2,8.2,34,189
2012,Germany,PASSAT,MID-SIZE,2.5,5,AS6,X,9.6,6.7,8.3,34,191
2012,Germany,PASSAT,MID-SIZE,2.5,5,M5,X,10.1,6.5,8.5,33,196
2012,Germany,PASSAT,MID-SIZE,3.6,6,AS6,Z,10.9,7.4,9.4,30,216
2012,Germany,ROUTAN,MINIVAN,3.6,6,AS6,X,12.2,7.9,10.3,27,237
2012,Germany,TIGUAN,SUV,2.0,4,AS6,Z,9.7,7.6,8.8,32,202
2012,Germany,TIGUAN,SUV,2.0,4,M6,Z,12.0,7.7,10.1,28,232
2012,Germany,TIGUAN 4MOTION,SUV,2.0,4,AS6,Z,9.8,7.4,8.8,32,202
2012,Germany,TOUAREG,SUV,3.6,6,AS8,Z,12.3,8.8,10.7,26,246
2012,Sweden,C30 T5,COMPACT,2.5,5,AS5,X,10.1,6.6,8.6,33,198
2012,Sweden,C30 T5,COMPACT,2.5,5,M6,X,10.2,6.8,8.7,32,200
2012,Sweden,C70 T5,SUBCOMPACT,2.5,5,AS5,X,11.8,7.0,9.6,29,221
